,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8
0,0.9934,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.99,0.99,,,,,
0.2,1.0033,1.003,1.003,1.002,1.001,1,0.999,0.998,0.998,0.998,1,1,,,,,
0.4,1.0326,1.033,1.032,1.03,1.028,1.025,1.024,1.021,1.019,1.017,1.02,1.01,,,,,
0.6,1.0799,1.08,1.079,1.076,1.073,1.068,1.065,1.06,1.056,1.051,1.05,1.04,,,,,
0.8,1.1433,1.143,1.141,1.138,1.133,1.128,1.121,1.114,1.106,1.099,1.09,1.08,,,,,
1,1.2201,1.219,1.217,1.212,1.206,1.199,1.19,1.18,1.169,1.157,1.14,1.13,,,,,
1.5,1.4506,1.449,1.444,1.435,1.423,1.408,1.391,1.37,1.348,1.324,1.3,1.27,,,,,
2,1.6975,1.695,1.687,1.673,1.655,1.632,1.606,1.574,1.541,1.505,1.469,1.43,,,,,
2.5,1.9211,2,1.908,1.888,1.866,1.84,1.801,1.756,1.717,1.67,1.623,1.58,,,,,
3,2.0986,2.095,2.082,2.062,2.033,1.996,1.952,1.9,1.846,1.794,1.738,1.68,1.7,,,,
3.5,2.2223,2.218,2.204,2.18,2.146,2.106,2.054,1.995,1.934,1.869,1.803,1.74,1.7,,,,
4,2.2986,2.294,2.276,2.249,2.213,2.168,2.11,2.048,1.98,1.907,1.834,1.76,1.69,1.6,,,
4.5,2.3354,2.33,2.312,2.28,2.238,2.19,2.129,2.062,1.99,1.911,1.832,1.75,1.67,1.6,,,
5,2.3443,2.338,2.318,2.285,2.241,2.186,2.12,2.056,1.972,1.89,1.808,1.719,1.62,1.55,1.4,,
6,2.3155,2.307,2.283,2.245,2.192,2.13,2.059,1.979,1.893,1.803,1.711,1.616,1.51,1.43,1.33,1.2,
7,2.2647,2.256,2.228,2.185,2.126,2.055,1.973,1.883,1.787,1.688,1.588,1.491,1.394,1.3,1.21,1.12,1
8,2,2.205,2.174,2.125,2.058,1.979,1.888,1.788,1.684,1.576,1.468,1.362,1.26,1.159,1.07,0.99,0.91
9,2.1759,2.164,2.13,2.074,1.999,1.909,1.808,1.699,1.587,1.474,1.362,1.252,1.149,1.049,0.955,0.86,0.79
10,2.1454,2.133,2.094,2.033,1.951,1.854,1.745,1.63,1.507,1.382,1.262,1.151,1.047,0.949,0.853,0.762,0.68
12,2.105,2.089,2.043,1.972,1.877,1.763,1.636,1.502,1.365,1.233,1.107,0.989,0.877,0.774,0.683,0.6,0.519
14,2.081,2.063,2.009,1.923,1.814,1.686,1.546,1.4,1.254,1.112,0.978,0.855,0.744,0.644,0.555,0.476,0.408
16,2.0654,2.044,1.983,1.887,1.764,1.622,1.468,1.311,1.156,1.009,0.873,0.749,0.639,0.542,0.457,0.384,0.321
18,2.0544,2.031,1.961,1.853,1.717,1.562,1.397,1.232,1.07,0.919,0.78,0.657,0.549,0.456,0.378,0.312,0.256
20,2.0462,2.02,1.944,1.827,1.678,1.51,1.333,1.158,0.991,0.837,0.701,0.58,0.477,0.389,0.316,0.256,0.207
